[2019-06-10 15:24:45] [INFO   ] 21 monkey waiting. Living time: 1.019s. 
[2019-06-10 15:24:45] [INFO   ] 14 monkey waiting. Living time: 4.024s. 
[2019-06-10 15:24:45] [INFO   ] 15 monkey waiting. Living time: 4.025s. 
[2019-06-10 15:24:45] [INFO   ] 20 monkey waiting. Living time: 4.028s. 
[2019-06-10 15:24:45] [INFO   ] 19 monkey waiting. Living time: 4.031s. 
[2019-06-10 15:24:45] [INFO   ] 18 monkey crossing L->R. Position: 4. Living time: 4.034s. Supposed speed: 1/s. 
[2019-06-10 15:24:45] [INFO   ] 11 monkey waiting. Living time: 4.036s. 
[2019-06-10 15:24:45] [INFO   ] 13 monkey waiting. Living time: 4.04s. 
[2019-06-10 15:24:45] [INFO   ] 16 monkey crossing L->R. Position: 3. Living time: 4.042s. Supposed speed: 1/s. 
[2019-06-10 15:24:45] [INFO   ] 12 monkey waiting. Living time: 4.046s. 
[2019-06-10 15:24:45] [INFO   ] 2 monkey crossing L->R. Position: 7. Living time: 7.05s. Supposed speed: 1/s. 
[2019-06-10 15:24:45] [INFO   ] 9 monkey crossing L->R. Position: 5. Living time: 7.052s. Supposed speed: 3/s. 
[2019-06-10 15:24:45] [INFO   ] 17 monkey waiting. Living time: 4.056s. 
[2019-06-10 15:24:45] [INFO   ] 6 monkey crossing L->R. Position: 5. Living time: 7.059s. Supposed speed: 2/s. 
[2019-06-10 15:24:45] [INFO   ] 1 monkey crossing L->R. Position: 7. Living time: 7.063s. Supposed speed: 1/s. 
[2019-06-10 15:24:45] [INFO   ] 5 monkey crossing L->R. Position: 7. Living time: 7.062s. Supposed speed: 1/s. 
[2019-06-10 15:24:45] [INFO   ] 3 monkey crossing L->R. Position: 4. Living time: 7.064s. Supposed speed: 4/s. 
[2019-06-10 15:24:45] [INFO   ] 4 monkey waiting. Living time: 7.069s. 
[2019-06-10 15:24:45] [INFO   ] 7 monkey crossing L->R. Position: 6. Living time: 7.072s. Supposed speed: 3/s. 
[2019-06-10 15:24:45] [INFO   ] 10 monkey crossing L->R. Position: 5. Living time: 7.074s. Supposed speed: 3/s. 
[2019-06-10 15:24:45] [INFO   ] 8 monkey waiting. Living time: 7.077s. 
[2019-06-10 15:24:46] [INFO   ] 26 monkey crossing L->R. Position: 3. Living time: 2.004s. Supposed speed: 3/s. 
[2019-06-10 15:24:46] [INFO   ] 25 monkey crossing L->R. Position: 4. Living time: 2.006s. Supposed speed: 4/s. 
[2019-06-10 15:24:46] [INFO   ] 28 monkey crossing L->R. Position: 1. Living time: 2.004s. Supposed speed: 3/s. 
[2019-06-10 15:24:46] [INFO   ] 24 monkey crossing L->R. Position: 1. Living time: 2.013s. Supposed speed: 1/s. 
[2019-06-10 15:24:46] [INFO   ] 30 monkey waiting. Living time: 2.009s. 
[2019-06-10 15:24:46] [INFO   ] 29 monkey crossing L->R. Position: 1. Living time: 2.009s. Supposed speed: 4/s. 
[2019-06-10 15:24:46] [INFO   ] 27 monkey crossing L->R. Position: 2. Living time: 2.01s. Supposed speed: 1/s. 
[2019-06-10 15:24:46] [INFO   ] 14 monkey waiting. Living time: 5.027s. 
[2019-06-10 15:24:46] [INFO   ] 21 monkey waiting. Living time: 2.023s. 
[2019-06-10 15:24:46] [INFO   ] 23 monkey waiting. Living time: 2.021s. 
[2019-06-10 15:24:46] [INFO   ] 18 monkey crossing L->R. Position: 4. Living time: 5.038s. Supposed speed: 1/s. 
[2019-06-10 15:24:46] [INFO   ] 19 monkey waiting. Living time: 5.035s. 
[2019-06-10 15:24:46] [INFO   ] 20 monkey waiting. Living time: 5.031s. 
[2019-06-10 15:24:46] [INFO   ] 15 monkey waiting. Living time: 5.029s. 
[2019-06-10 15:24:46] [INFO   ] 16 monkey crossing L->R. Position: 3. Living time: 5.045s. Supposed speed: 1/s. 
[2019-06-10 15:24:46] [INFO   ] 13 monkey waiting. Living time: 5.043s. 
[2019-06-10 15:24:46] [INFO   ] 11 monkey waiting. Living time: 5.041s. 
[2019-06-10 15:24:46] [INFO   ] 9 monkey crossing L->R. Position: 6. Living time: 8.057s. Supposed speed: 3/s. 
[2019-06-10 15:24:46] [INFO   ] 2 monkey crossing L->R. Position: 8. Living time: 8.054s. Supposed speed: 1/s. 
[2019-06-10 15:24:46] [INFO   ] 12 monkey waiting. Living time: 5.05s. 
[2019-06-10 15:24:46] [INFO   ] 6 monkey crossing L->R. Position: 6. Living time: 8.063s. Supposed speed: 2/s. 
[2019-06-10 15:24:46] [INFO   ] 17 monkey waiting. Living time: 5.059s. 
[2019-06-10 15:24:46] [INFO   ] 5 monkey crossing L->R. Position: 8. Living time: 8.065s. Supposed speed: 1/s. 
[2019-06-10 15:24:46] [INFO   ] 1 monkey crossing L->R. Position: 8. Living time: 8.066s. Supposed speed: 1/s. 
[2019-06-10 15:24:46] [INFO   ] 7 monkey crossing L->R. Position: 7. Living time: 8.075s. Supposed speed: 3/s. 
[2019-06-10 15:24:46] [INFO   ] 4 monkey waiting. Living time: 8.072s. 
[2019-06-10 15:24:46] [INFO   ] 3 monkey crossing L->R. Position: 5. Living time: 8.068s. Supposed speed: 4/s. 
[2019-06-10 15:24:46] [INFO   ] 8 monkey waiting. Living time: 8.079s. 
[2019-06-10 15:24:46] [INFO   ] 10 monkey crossing L->R. Position: 6. Living time: 8.076s. Supposed speed: 3/s. 
[2019-06-10 15:24:47] [INFO   ] 32 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:47] [INFO   ] 36 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:47] [INFO   ] 38 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:47] [INFO   ] 37 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:47] [INFO   ] 35 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:47] [INFO   ] 33 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:47] [INFO   ] 34 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:47] [INFO   ] 22 monkey crossing L->R. Position: 1. Living time: 3.017s. Supposed speed: 3/s. 
[2019-06-10 15:24:47] [INFO   ] 24 monkey crossing L->R. Position: 1. Living time: 3.016s. Supposed speed: 1/s. 
[2019-06-10 15:24:47] [INFO   ] 28 monkey crossing L->R. Position: 3. Living time: 3.013s. Supposed speed: 3/s. 
[2019-06-10 15:24:47] [INFO   ] 40 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:47] [INFO   ] 39 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:47] [INFO   ] 25 monkey crossing L->R. Position: 5. Living time: 3.01s. Supposed speed: 4/s. 
[2019-06-10 15:24:47] [INFO   ] 26 monkey crossing L->R. Position: 4. Living time: 3.008s. Supposed speed: 3/s. 
[2019-06-10 15:24:47] [INFO   ] 14 monkey waiting. Living time: 6.032s. 
[2019-06-10 15:24:47] [INFO   ] 27 monkey crossing L->R. Position: 2. Living time: 3.028s. Supposed speed: 1/s. 
[2019-06-10 15:24:47] [INFO   ] 29 monkey crossing L->R. Position: 4. Living time: 3.023s. Supposed speed: 4/s. 
[2019-06-10 15:24:47] [INFO   ] 30 monkey waiting. Living time: 3.018s. 
[2019-06-10 15:24:47] [INFO   ] 15 monkey waiting. Living time: 6.048s. 
[2019-06-10 15:24:47] [INFO   ] 20 monkey waiting. Living time: 6.046s. 
[2019-06-10 15:24:47] [INFO   ] 19 monkey waiting. Living time: 6.045s. 
[2019-06-10 15:24:47] [INFO   ] 18 monkey crossing L->R. Position: 5. Living time: 6.043s. Supposed speed: 1/s. 
[2019-06-10 15:24:47] [INFO   ] 23 monkey waiting. Living time: 3.037s. 
[2019-06-10 15:24:47] [INFO   ] 12 monkey waiting. Living time: 6.065s. 
[2019-06-10 15:24:47] [INFO   ] 2 monkey crossing L->R. Position: 9. Living time: 9.063s. Supposed speed: 1/s. 
[2019-06-10 15:24:47] [INFO   ] 9 monkey crossing L->R. Position: 7. Living time: 9.059s. Supposed speed: 3/s. 
[2019-06-10 15:24:47] [INFO   ] 11 monkey waiting. Living time: 6.057s. 
[2019-06-10 15:24:47] [INFO   ] 13 monkey waiting. Living time: 6.055s. 
[2019-06-10 15:24:47] [INFO   ] 16 monkey crossing L->R. Position: 4. Living time: 6.052s. Supposed speed: 1/s. 
[2019-06-10 15:24:47] [INFO   ] 10 monkey crossing L->R. Position: 7. Living time: 9.086s. Supposed speed: 3/s. 
[2019-06-10 15:24:47] [INFO   ] 8 monkey waiting. Living time: 9.085s. 
[2019-06-10 15:24:47] [INFO   ] 3 monkey crossing L->R. Position: 6. Living time: 9.081s. Supposed speed: 4/s. 
[2019-06-10 15:24:47] [INFO   ] 4 monkey waiting. Living time: 9.08s. 
[2019-06-10 15:24:47] [INFO   ] 7 monkey crossing L->R. Position: 8. Living time: 9.078s. Supposed speed: 3/s. 
[2019-06-10 15:24:47] [INFO   ] 1 monkey crossing L->R. Position: 9. Living time: 9.077s. Supposed speed: 1/s. 
[2019-06-10 15:24:47] [INFO   ] 5 monkey crossing L->R. Position: 9. Living time: 9.072s. Supposed speed: 1/s. 
[2019-06-10 15:24:47] [INFO   ] 17 monkey waiting. Living time: 6.069s. 
[2019-06-10 15:24:47] [INFO   ] 6 monkey crossing L->R. Position: 7. Living time: 9.068s. Supposed speed: 2/s. 
[2019-06-10 15:24:48] [INFO   ] 31 monkey crossing L->R. Position: 1. Living time: 1.001s. Supposed speed: 2/s. 
[2019-06-10 15:24:48] [INFO   ] 32 monkey waiting. Living time: 1.004s. 
[2019-06-10 15:24:48] [INFO   ] 38 monkey waiting. Living time: 1.006s. 
[2019-06-10 15:24:48] [INFO   ] 37 monkey waiting. Living time: 1.008s. 
[2019-06-10 15:24:48] [INFO   ] 35 monkey waiting. Living time: 1.011s. 
[2019-06-10 15:24:48] [INFO   ] 33 monkey waiting. Living time: 1.015s. 
[2019-06-10 15:24:48] [INFO   ] 34 monkey waiting. Living time: 1.018s. 
[2019-06-10 15:24:48] [INFO   ] 22 monkey crossing L->R. Position: 2. Living time: 4.024s. Supposed speed: 3/s. 
[2019-06-10 15:24:48] [INFO   ] 24 monkey crossing L->R. Position: 1. Living time: 4.026s. Supposed speed: 1/s. 
[2019-06-10 15:24:48] [INFO   ] 28 monkey crossing L->R. Position: 3. Living time: 4.029s. Supposed speed: 3/s. 
[2019-06-10 15:24:48] [INFO   ] 40 monkey waiting. Living time: 1.02s. 
[2019-06-10 15:24:48] [INFO   ] 21 monkey crossing L->R. Position: 1. Living time: 4.035s. Supposed speed: 2/s. 
[2019-06-10 15:24:48] [INFO   ] 25 monkey crossing L->R. Position: 6. Living time: 4.034s. Supposed speed: 4/s. 
[2019-06-10 15:24:48] [INFO   ] 14 monkey waiting. Living time: 7.041s. 
[2019-06-10 15:24:48] [INFO   ] 26 monkey crossing L->R. Position: 5. Living time: 4.038s. Supposed speed: 3/s. 
[2019-06-10 15:24:48] [INFO   ] 27 monkey crossing L->R. Position: 3. Living time: 4.043s. Supposed speed: 1/s. 
[2019-06-10 15:24:48] [INFO   ] 29 monkey crossing L->R. Position: 5. Living time: 4.044s. Supposed speed: 4/s. 
[2019-06-10 15:24:48] [INFO   ] 30 monkey waiting. Living time: 4.045s. 
[2019-06-10 15:24:48] [INFO   ] 15 monkey waiting. Living time: 7.051s. 
[2019-06-10 15:24:48] [INFO   ] 20 monkey waiting. Living time: 7.056s. 
[2019-06-10 15:24:48] [INFO   ] 19 monkey waiting. Living time: 7.06s. 
[2019-06-10 15:24:48] [INFO   ] 18 monkey crossing L->R. Position: 6. Living time: 7.064s. Supposed speed: 1/s. 
[2019-06-10 15:24:48] [INFO   ] 23 monkey waiting. Living time: 4.065s. 
[2019-06-10 15:24:48] [INFO   ] 12 monkey waiting. Living time: 7.07s. 
[2019-06-10 15:24:48] [INFO   ] 2 monkey crossing L->R. Position: 10. Living time: 10.076s. Supposed speed: 1/s. 
[2019-06-10 15:24:48] [INFO   ] 9 monkey crossing L->R. Position: 8. Living time: 10.078s. Supposed speed: 3/s. 
[2019-06-10 15:24:48] [INFO   ] 11 monkey waiting. Living time: 7.081s. 
[2019-06-10 15:24:48] [INFO   ] 13 monkey waiting. Living time: 7.084s. 
[2019-06-10 15:24:48] [INFO   ] 16 monkey crossing L->R. Position: 5. Living time: 7.088s. Supposed speed: 1/s. 
[2019-06-10 15:24:48] [INFO   ] 10 monkey crossing L->R. Position: 7. Living time: 10.091s. Supposed speed: 3/s. 
[2019-06-10 15:24:48] [INFO   ] 8 monkey waiting. Living time: 10.095s. 
[2019-06-10 15:24:48] [INFO   ] 3 monkey crossing L->R. Position: 7. Living time: 10.096s. Supposed speed: 4/s. 
[2019-06-10 15:24:48] [INFO   ] 4 monkey waiting. Living time: 10.101s. 
[2019-06-10 15:24:48] [INFO   ] 7 monkey crossing L->R. Position: 9. Living time: 10.104s. Supposed speed: 3/s. 
[2019-06-10 15:24:48] [INFO   ] 1 monkey crossing L->R. Position: 10. Living time: 10.109s. Supposed speed: 1/s. 
[2019-06-10 15:24:48] [INFO   ] 5 monkey crossing L->R. Position: 10. Living time: 10.109s. Supposed speed: 1/s. 
[2019-06-10 15:24:48] [INFO   ] 17 monkey waiting. Living time: 7.113s. 
[2019-06-10 15:24:48] [INFO   ] 6 monkey crossing L->R. Position: 9. Living time: 10.116s. Supposed speed: 2/s. 
[2019-06-10 15:24:49] [INFO   ] 31 monkey crossing L->R. Position: 3. Living time: 2.005s. Supposed speed: 2/s. 
[2019-06-10 15:24:49] [INFO   ] 36 monkey crossing L->R. Position: 1. Living time: 2.004s. Supposed speed: 1/s. 
[2019-06-10 15:24:49] [INFO   ] 32 monkey waiting. Living time: 2.008s. 
[2019-06-10 15:24:49] [INFO   ] 38 monkey waiting. Living time: 2.009s. 
[2019-06-10 15:24:49] [INFO   ] 37 monkey waiting. Living time: 2.011s. 
[2019-06-10 15:24:49] [INFO   ] 35 monkey waiting. Living time: 2.014s. 
[2019-06-10 15:24:49] [INFO   ] 34 monkey waiting. Living time: 2.021s. 
[2019-06-10 15:24:49] [INFO   ] 22 monkey crossing L->R. Position: 2. Living time: 5.027s. Supposed speed: 3/s. 
[2019-06-10 15:24:49] [INFO   ] 24 monkey crossing L->R. Position: 2. Living time: 5.03s. Supposed speed: 1/s. 
[2019-06-10 15:24:49] [INFO   ] 28 monkey crossing L->R. Position: 4. Living time: 5.033s. Supposed speed: 3/s. 
[2019-06-10 15:24:49] [INFO   ] 40 monkey waiting. Living time: 2.024s. 
[2019-06-10 15:24:49] [INFO   ] 39 monkey crossing L->R. Position: 1. Living time: 2.022s. Supposed speed: 1/s. 
[2019-06-10 15:24:49] [INFO   ] 21 monkey crossing L->R. Position: 1. Living time: 5.038s. Supposed speed: 2/s. 
[2019-06-10 15:24:49] [INFO   ] 14 monkey waiting. Living time: 8.044s. 
[2019-06-10 15:24:49] [INFO   ] 25 monkey crossing L->R. Position: 6. Living time: 5.04s. Supposed speed: 4/s. 
[2019-06-10 15:24:49] [INFO   ] 29 monkey crossing L->R. Position: 5. Living time: 5.047s. Supposed speed: 4/s. 
[2019-06-10 15:24:49] [INFO   ] 27 monkey crossing L->R. Position: 4. Living time: 5.047s. Supposed speed: 1/s. 
[2019-06-10 15:24:49] [INFO   ] 26 monkey crossing L->R. Position: 6. Living time: 5.045s. Supposed speed: 3/s. 
[2019-06-10 15:24:49] [INFO   ] 20 monkey waiting. Living time: 8.058s. 
[2019-06-10 15:24:49] [INFO   ] 15 monkey waiting. Living time: 8.055s. 
[2019-06-10 15:24:49] [INFO   ] 30 monkey waiting. Living time: 5.048s. 
[2019-06-10 15:24:49] [INFO   ] 23 monkey waiting. Living time: 5.067s. 
[2019-06-10 15:24:49] [INFO   ] 18 monkey crossing L->R. Position: 7. Living time: 8.066s. Supposed speed: 1/s. 
[2019-06-10 15:24:49] [INFO   ] 19 monkey waiting. Living time: 8.062s. 
[2019-06-10 15:24:49] [INFO   ] 2 monkey crossing L->R. Position: 11. Living time: 11.078s. Supposed speed: 1/s. 
